"Variables ->","m_L_GDP","m_L_S","m_L_CPI","m_RS","m_L_CPIXFE","m_L_CPI_RW","m_RS_RW","m_L_GDP_RW_GAP","m_REM_GDP","m_L_MB"
"Comments ->","Producto Interno Bruto real de Guatemala","Tipo de Cambio Nominal","Indice de Precios al Consumidor","Tasa de interes de Política Monetaria","Indice de Inflación Subyacente","Indice de precios de importaciones e importaciones","Tasa de Fondos Federales","Producto Interno Bruto de EEUU","Remesas como porcentaje del producto","Base Monetaria"
"Class[Size] ->","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]","tseries[92-by-1]"
".endhist","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4"
"2001Q1",1112.48592,204.12203,342.18029,5.40000,463.75685,459.53266,5.29000,1.05144,NaN,938.94652
"2001Q2",1112.46244,205.41237,343.64045,4.98000,465.45150,458.87895,3.95000,0.96774,NaN,937.47525
"2001Q3",1112.62284,207.31719,346.06826,4.63000,468.18882,457.71007,2.75000,-0.14062,NaN,941.07474
"2001Q4",1116.14769,207.44290,348.09022,4.52000,470.49292,454.40804,1.52000,-0.57506,NaN,954.34642
"2002Q1",1115.47622,206.81278,350.91470,5.25000,474.23773,455.24575,1.74000,-0.45411,5.76943,954.84712
"2002Q2",1117.37929,206.68628,352.38558,4.39000,475.69636,456.18788,1.73000,-0.55911,6.54071,948.55297
"2002Q3",1118.47964,205.15563,352.92944,4.45000,476.93163,457.38092,1.85000,-0.87370,7.93546,945.82000
"2002Q4",1119.13995,203.47056,354.22449,2.22000,478.20779,457.11478,1.16000,-1.47507,8.31006,969.77234
"2003Q1",1119.98338,206.81278,356.52933,1.41000,480.66876,459.87044,1.38000,-1.67896,8.61561,959.51809
"2003Q2",1119.64474,206.93912,357.49511,1.10000,482.08416,458.07708,1.45000,-1.52936,9.08187,960.71279
"2003Q3",1120.67350,207.69384,358.45166,1.45000,483.03239,458.19941,1.17000,-0.61259,9.26023,958.12554
"2003Q4",1120.48810,208.31845,359.91442,1.83000,483.97648,459.38155,0.94000,-0.18865,9.64669,974.32249
"2004Q1",1121.67499,209.18641,362.88820,1.86000,486.49132,461.85056,1.05000,-0.34737,10.87023,972.06579
"2004Q2",1122.29318,207.19133,364.63870,2.26000,488.01745,462.87047,1.38000,-0.28904,9.88409,968.81634
"2004Q3",1123.50691,206.68628,366.19068,2.08000,489.44735,464.42165,1.94000,-0.04442,9.85673,971.76277
"2004Q4",1124.97943,205.15563,368.73989,2.68000,491.22772,464.73695,1.97000,0.28944,10.18867,985.60919
"2005Q1",1125.09604,203.07764,371.29127,2.75000,494.05174,467.52449,2.96000,0.73407,10.32054,982.21148
"2005Q2",1127.01572,202.94632,373.07362,3.00000,495.54044,468.41965,3.35000,0.59343,10.58383,981.09445
"2005Q3",1125.84510,203.07764,375.21754,3.61364,496.77556,471.59832,3.93000,0.77229,10.21773,982.70654
"2005Q4",1126.52988,202.94632,376.95937,4.11364,498.65540,470.55193,4.09000,0.75774,11.22415,995.90405
"2006Q1",1130.13536,203.07764,378.31910,4.25000,500.90916,471.19639,5.00000,1.56172,11.43247,995.75448
"2006Q2",1129.73028,202.94632,380.35457,4.57955,502.09567,474.61453,5.05000,1.32605,11.79869,999.53372
"2006Q3",1132.24823,202.94632,380.75939,5.00000,503.12976,474.18515,5.34000,1.02142,11.51090,999.18006
"2006Q4",1133.92685,202.81482,382.59033,5.00000,504.26508,473.79704,5.17000,1.46278,11.46687,1014.79111
"2007Q1",1136.51413,203.99208,385.10748,5.02273,506.63436,474.91640,5.30000,1.38863,11.54641,1014.62494
"2007Q2",1136.62429,203.86195,385.53144,5.50000,507.93105,477.59816,5.31000,1.66275,11.95418,1017.24607
"2007Q3",1137.94024,204.12203,387.83470,5.52500,509.45664,478.79842,4.58000,1.93814,11.89932,1018.00771
"2007Q4",1138.46841,203.20878,390.97504,6.28571,511.39360,482.48127,3.06000,2.29921,11.79118,1025.54780
"2008Q1",1139.75530,203.33976,393.81654,6.53571,514.54851,486.82977,2.51000,1.63588,11.32690,1018.80949
"2008Q2",1142.10142,201.35688,398.24479,6.75000,517.09844,493.19567,2.47000,2.01778,10.84669,1018.91062
"2008Q3",1141.02950,200.95554,399.83352,7.25000,519.21791,489.16453,2.03000,1.29658,10.59488,1020.51391
"2008Q4",1141.10323,204.25182,399.95932,7.25000,520.72443,474.46549,0.14000,-1.10205,10.28297,1026.25561
"2009Q1",1139.93842,208.93919,398.69418,6.45455,521.90278,473.87285,0.16000,-2.42820,10.83853,1021.31427
"2009Q2",1141.02773,209.55609,398.86011,5.54545,522.58544,478.08520,0.22000,-2.79935,10.23331,1026.47012
"2009Q3",1142.41128,211.86623,399.86636,4.63636,523.46619,478.81526,0.07000,-2.65523,10.36766,1029.14368
"2009Q4",1143.10981,211.98635,399.68017,4.50000,524.14672,480.96158,0.05000,-1.80548,10.18028,1036.73568
"2010Q1",1143.17920,208.19384,402.54916,4.50000,525.62566,482.35911,0.09000,-1.56956,9.80160,1036.55756
"2010Q2",1144.01478,208.06908,402.84699,4.50000,526.57688,482.08650,0.09000,-0.87810,9.94526,1033.26106
"2010Q3",1144.16288,208.93919,403.55606,4.50000,527.43527,482.79717,0.15000,-0.40654,10.19851,1034.47509
"2010Q4",1146.25741,207.69384,404.93330,4.50000,528.40130,486.52385,0.13000,-0.20495,9.72521,1043.71377
"2011Q1",1147.22143,204.25182,407.31471,4.50000,530.11879,491.87075,0.10000,-0.79038,9.39628,1043.65071
"2011Q2",1148.33874,205.28409,409.07628,4.75000,531.54941,493.65610,0.07000,-0.48992,9.51337,1044.95461
"2011Q3",1149.72444,206.05135,410.55242,5.00000,532.87080,493.60050,0.06000,-0.91159,8.96533,1040.58827
"2011Q4",1149.83553,205.41237,410.94869,5.50000,533.86587,492.90135,0.04000,-0.21895,9.14409,1052.95276
"2012Q1",1150.99297,204.51089,411.86724,5.50000,535.12606,494.35064,0.09000,0.16845,9.47797,1050.39189
"2012Q2",1150.98106,206.05135,412.49041,5.50000,536.26783,491.24868,0.09000,0.14396,9.79027,1049.36048
"2012Q3",1152.10814,207.69384,413.78016,5.00000,537.55583,492.97166,0.09000,-0.20276,9.65887,1047.39670
"2012Q4",1153.43525,206.55961,414.33696,5.00000,538.63985,492.13864,0.09000,-0.59746,9.64012,1062.48796
"2013Q1",1153.87777,205.54050,416.11426,5.00000,539.91569,493.18607,0.09000,-0.14428,9.54448,1062.95108
"2013Q2",1155.29591,205.66846,417.17276,5.25000,540.90604,491.71061,0.07000,-0.42211,9.44598,1058.47696
"2013Q3",1155.76118,207.19133,417.90446,5.25000,541.52736,492.08602,0.06000,-0.13419,9.77707,1055.44107
"2013Q4",1156.29785,206.17866,418.63084,5.00000,542.30690,491.08686,0.07000,0.16120,9.84806,1067.03474
