Variables ->,ln_ipei,d4_ln_ipei,dla_ipei
Comments ->,Índice de Precios de transables (Logaritmo),Tasa de Variación Interanual del Índice de Precios de Transables,Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables
Class[Size] ->,tseries[111-by-1],tseries[111-by-1],tseries[111-by-1]
.endhist,2024Q1,2024Q1,2024Q1
2004Q1,459.04445,NaN,NaN
2004Q2,460.81683,NaN,NaN
2004Q3,462.37444,NaN,NaN
2004Q4,463.32022,6.75208,NaN
2005Q1,466.28397,7.23952,11.85499
2005Q2,468.12732,7.31049,7.3734
2005Q3,470.26472,7.89028,8.5496
2005Q4,471.00826,7.68804,2.97416
2006Q1,471.33099,5.04702,1.29092
2006Q2,473.90189,5.77457,10.2836
2006Q3,475.06384,4.79912,4.6478
2006Q4,473.01608,2.00782,-8.19104
2007Q1,473.90224,2.57125,3.54464
2007Q2,476.75182,2.84993,11.39832
2007Q3,478.52647,3.46263,7.0986
2007Q4,481.65794,8.64186,12.52588
2008Q1,484.97957,11.07733,13.28652
2008Q2,490.95263,14.20081,23.89224
2008Q3,491.87361,13.34714,3.68392
2008Q4,479.03898,-2.61896,-51.33852
2009Q1,473.8482,-11.13137,-20.76312
2009Q2,476.266,-14.68663,9.6712
2009Q3,478.39187,-13.48174,8.50348
2009Q4,480.29973,1.26075,7.63144
2010Q1,482.08065,8.23245,7.12368
2010Q2,482.88633,6.62033,3.22272
2010Q3,482.47427,4.0824,-1.64824
2010Q4,485.2338,4.93407,11.03812
2011Q1,489.76767,7.68702,18.13548
2011Q2,493.81473,10.9284,16.18824
2011Q3,493.55452,11.08025,-1.04084
2011Q4,492.86588,7.63208,-2.75456
2012Q1,493.52192,3.75425,2.62416
2012Q2,493.02138,-0.79335,-2.00216
2012Q3,491.98969,-1.56483,-4.12676
2012Q4,492.61967,-0.24621,2.51992
2013Q1,493.06152,-0.4604,1.7674
2013Q2,492.08772,-0.93366,-3.8952
2013Q3,491.85772,-0.13197,-0.92
2013Q4,491.15101,-1.46866,-2.82684
2014Q1,492.26837,-0.79315,4.46944
2014Q2,492.36723,0.27951,0.39544
2014Q3,491.55618,-0.30154,-3.2442
2014Q4,488.04941,-3.1016,-14.02708
2015Q1,483.4257,-8.84267,-18.49484
2015Q2,483.46267,-8.90456,0.14788
2015Q3,481.57569,-9.98049,-7.54792
2015Q4,479.32325,-8.72616,-9.00976
2016Q1,476.94067,-6.48503,-9.53032
2016Q2,478.54776,-4.91491,6.42836
2016Q3,479.25454,-2.32115,2.82712
2016Q4,479.71172,0.38847,1.82872
2017Q1,480.62265,3.68198,3.64372
2017Q2,480.68768,2.13992,0.26012
2017Q3,481.21683,1.96229,2.1166
2017Q4,482.63485,2.92313,5.67208
2018Q1,483.88424,3.26159,4.99756
2018Q2,484.99047,4.30279,4.42492
2018Q3,484.90587,3.68904,-0.3384
2018Q4,484.06086,1.42601,-3.38004
2019Q1,483.51732,-0.36692,-2.17416
2019Q2,484.03656,-0.95391,2.07696
2019Q3,483.09409,-1.81178,-3.76988
2019Q4,482.72647,-1.33439,-1.47048
2020Q1,481.87667,-1.64065,-3.3992
2020Q2,478.02404,-6.01252,-15.41052
2020Q3,480.91869,-2.1754,11.5786
2020Q4,481.94885,-0.77762,4.12064
2021Q1,486.16573,4.28906,16.86752
2021Q2,490.30783,12.28379,16.5684
2021Q3,492.23902,11.32033,7.72476
2021Q4,494.26388,12.31503,8.09944
2022Q1,498.74451,12.57878,17.92252
2022Q2,503.38526,13.07743,18.563
2022Q3,500.70639,8.46737,-10.71548
2022Q4,498.52533,4.26145,-8.72424
2023Q1,497.31051,-1.434,-4.85928
2023Q2,496.1922,-7.19306,-4.47324
2023Q3,496.41223,-4.29416,0.88012
2023Q4,495.6394,-2.88593,-3.09132
2024Q1,496.04663,-1.26388,1.62892
2024Q2,495.70627,-0.48593,-1.36143
2024Q3,496.5176,0.10537,3.24532
2024Q4,496.19421,0.55481,-1.29359
2025Q1,496.94304,0.89641,2.99533
2025Q2,496.86232,1.15605,-0.32286
2025Q3,497.871,1.3534,4.03471
2025Q4,497.6976,1.5034,-0.6936
2026Q1,498.56044,1.61741,3.45137
2026Q2,498.56638,1.70406,0.02376
2026Q3,499.64093,1.76993,4.29817
2026Q4,499.51759,1.81999,-0.49335
2027Q1,500.41848,1.85804,3.60357
2027Q2,500.45335,1.88696,0.13945
2027Q3,501.54987,1.90895,4.3861
2027Q4,501.44325,1.92565,-0.42651
2028Q1,502.35684,1.93835,3.65437
2028Q2,502.40135,1.94801,0.17806
2028Q3,503.50522,1.95534,4.41545
2028Q4,503.40416,1.96092,-0.40421
2029Q1,504.322,1.96516,3.67132
2029Q2,504.36973,1.96838,0.19095
2029Q3,505.47604,1.97083,4.42525
2029Q4,505.37685,1.97269,-0.39676
2030Q1,506.2961,1.9741,3.67698
2030Q2,506.34491,1.97518,0.19525
2030Q3,507.45204,1.976,4.42852
2030Q4,507.35347,1.97662,-0.39428
2031Q1,508.27319,1.97709,3.67887
2031Q2,508.32236,1.97745,0.19668
2031Q3,509.42976,1.97772,4.42961
