"Variables ->","L_CPI_RW","DLA_CPI_RW","D4L_CPI_RW"
"Comments ->","Índice de Precios de transables (Logaritmo)","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables","Tasa de Variación Interanual del Índice de Precios de Transables"
"Class[Size] ->","tseries[112-by-1]","tseries[112-by-1]","tseries[112-by-1]"
"2004Q1",4.63535899e+02,NaN,NaN
"2004Q2",4.64632590e+02,NaN,NaN
"2004Q3",4.65608372e+02,NaN,NaN
"2004Q4",4.66563121e+02,3.81899822e+00,NaN
"2005Q1",4.67524494e+02,3.84549158e+00,3.98859537e+00
"2005Q2",4.68419647e+02,3.58061208e+00,3.78705703e+00
"2005Q3",4.71598320e+02,1.27146908e+01,5.98994816e+00
"2005Q4",4.70551927e+02,-4.18557128e+00,3.98880579e+00
"2006Q1",4.71196391e+02,2.57785528e+00,3.67189671e+00
"2006Q2",4.74614529e+02,1.36725510e+01,6.19488145e+00
"2006Q3",4.74185146e+02,-1.71753225e+00,2.58682569e+00
"2006Q4",4.73797042e+02,-1.55241617e+00,3.24511447e+00
"2007Q1",4.74916400e+02,4.47743290e+00,3.72000888e+00
"2007Q2",4.77598158e+02,1.07270339e+01,2.98362959e+00
"2007Q3",4.78798418e+02,4.80103969e+00,4.61327257e+00
"2007Q4",4.82481274e+02,1.47314228e+01,8.68423232e+00
"2008Q1",4.86829769e+02,1.73939779e+01,1.19133686e+01
"2008Q2",4.93195667e+02,2.54635958e+01,1.55975091e+01
"2008Q3",4.89164530e+02,-1.61245505e+01,1.03661115e+01
"2008Q4",4.74465487e+02,-5.87961704e+01,-8.01578680e+00
"2009Q1",4.73872855e+02,-2.37053028e+00,-1.29569139e+01
"2009Q2",4.78085200e+02,1.68493823e+01,-1.51104672e+01
"2009Q3",4.78815263e+02,2.92025158e+00,-1.03492667e+01
"2009Q4",4.80961578e+02,8.58526049e+00,6.49609102e+00
"2010Q1",4.82359105e+02,5.59010708e+00,8.48625036e+00
"2010Q2",4.82086505e+02,-1.09040007e+00,4.00130477e+00
"2010Q3",4.82797171e+02,2.84266401e+00,3.98190788e+00
"2010Q4",4.86523848e+02,1.49067072e+01,5.56226957e+00
"2011Q1",4.91870749e+02,2.13876051e+01,9.51164408e+00
"2011Q2",4.93656104e+02,7.14141821e+00,1.15695986e+01
"2011Q3",4.93600500e+02,-2.22413109e-01,1.08033294e+01
"2011Q4",4.92901346e+02,-2.79661848e+00,6.37749793e+00
"2012Q1",4.94350639e+02,5.79717416e+00,2.47989020e+00
"2012Q2",4.91248682e+02,-1.24078278e+01,-2.40742130e+00
"2012Q3",4.92971658e+02,6.89190247e+00,-6.28842404e-01
"2012Q4",4.92138638e+02,-3.33207934e+00,-7.62707619e-01
"2013Q1",4.93186069e+02,4.18972251e+00,-1.16457053e+00
"2013Q2",4.91710615e+02,-5.90181559e+00,4.61932512e-01
"2013Q3",4.92086016e+02,1.50160475e+00,-8.85641919e-01
"2013Q4",4.91086861e+02,-3.99661818e+00,-1.05177663e+00
"2014Q1",4.93003499e+02,7.66655048e+00,-1.82569637e-01
"2014Q2",4.92409886e+02,-2.37445099e+00,6.99271514e-01
"2014Q3",4.90893356e+02,-6.06611988e+00,-1.19265964e+00
"2014Q4",4.86272335e+02,-1.84840850e+01,-4.81452633e+00
"2015Q1",4.83259857e+02,-1.20499111e+01,-9.74364174e+00
"2015Q2",4.83701239e+02,1.76552522e+00,-8.70864768e+00
"2015Q3",4.80443526e+02,-1.30308488e+01,-1.04498299e+01
"2015Q4",4.78318814e+02,-8.49884853e+00,-7.95352082e+00
"2016Q1",4.76939467e+02,-5.51738919e+00,-6.32039033e+00
"2016Q2",4.79392750e+02,9.81313223e+00,-4.30848858e+00
"2016Q3",4.79216557e+02,-7.04773923e-01,-1.22696985e+00
"2016Q4",4.79979878e+02,3.05328732e+00,1.66106411e+00
"2017Q1",4.80684731e+02,2.81941039e+00,3.74526400e+00
"2017Q2",4.80476136e+02,-8.34379288e-01,1.08338612e+00
"2017Q3",4.81947479e+02,5.88537053e+00,2.73092224e+00
"2017Q4",4.82976596e+02,4.11646825e+00,2.99671747e+00
"2018Q1",4.83961882e+02,3.94114461e+00,3.27715103e+00
"2018Q2",4.85298315e+02,5.34573336e+00,4.82217919e+00
"2018Q3",4.84847595e+02,-1.80288156e+00,2.90011617e+00
"2018Q4",4.82866587e+02,-7.92403262e+00,-1.10009052e-01
"2019Q1",4.84221215e+02,5.41851075e+00,2.59332485e-01
"2019Q2",4.83429657e+02,-3.16623076e+00,-1.86865854e+00
"2019Q3",4.82861143e+02,-2.27405592e+00,-1.98645214e+00
"2019Q4",4.82831374e+02,-1.19076651e-01,-3.52131449e-02
"2020Q1",4.80191564e+02,-1.05592374e+01,-4.02965017e+00
"2020Q2",4.79160601e+02,-4.12385523e+00,-4.26905629e+00
"2020Q3",4.81374563e+02,8.85584894e+00,-1.48658008e+00
"2020Q4",4.82758305e+02,5.53496900e+00,-7.30686622e-02
"2021Q1",4.87824337e+02,2.02641283e+01,7.63277276e+00
"2021Q2",4.91584574e+02,1.50409487e+01,1.24239737e+01
"2021Q3",4.92466081e+02,3.52602796e+00,1.10915185e+01
"2021Q4",4.93956475e+02,5.96157396e+00,1.11981697e+01
"2022Q1",5.01653255e+02,3.07871204e+01,1.38289178e+01
"2022Q2",5.04175164e+02,1.00876376e+01,1.25905900e+01
"2022Q3",4.99615668e+02,-1.82379868e+01,7.14958629e+00
"2022Q4",4.97643166e+02,-7.89000537e+00,3.68669146e+00
"2023Q1",4.96882344e+02,-3.04329002e+00,-4.77091115e+00
"2023Q2",4.95593341e+02,-5.15601042e+00,-8.58182315e+00
"2023Q3",4.97025070e+02,5.72691646e+00,-2.59059734e+00
"2023Q4",4.94965497e+02,-8.23829243e+00,-2.67766911e+00
"2024Q1",4.96474163e+02,6.03466261e+00,-4.08180948e-01
"2024Q2",4.96883881e+02,1.63887419e+00,1.29054021e+00
"2024Q3",4.97320684e+02,1.74721194e+00,2.95614076e-01
"2024Q4",4.97776446e+02,1.82304835e+00,2.81094927e+00
"2025Q1",4.98245480e+02,1.87613385e+00,1.77131708e+00
"2025Q2",4.98723803e+02,1.91329369e+00,1.83992196e+00
"2025Q3",4.99208630e+02,1.93930559e+00,1.88794537e+00
"2025Q4",4.99698008e+02,1.95751391e+00,1.92156176e+00
"2026Q1",5.00190573e+02,1.97025974e+00,1.94509323e+00
"2026Q2",5.00685369e+02,1.97918182e+00,1.96156526e+00
"2026Q3",5.01181725e+02,1.98542727e+00,1.97309568e+00
"2026Q4",5.01679175e+02,1.98979909e+00,1.98116698e+00
"2027Q1",5.02177390e+02,1.99285936e+00,1.98681688e+00
"2027Q2",5.02676140e+02,1.99500155e+00,1.99077182e+00
"2027Q3",5.03175266e+02,1.99650109e+00,1.99354027e+00
"2027Q4",5.03674653e+02,1.99755076e+00,1.99547819e+00
"2028Q1",5.04174225e+02,1.99828553e+00,1.99683473e+00
"2028Q2",5.04673925e+02,1.99879987e+00,1.99778431e+00
"2028Q3",5.05173715e+02,1.99915991e+00,1.99844902e+00
"2028Q4",5.05673568e+02,1.99941194e+00,1.99891431e+00
"2029Q1",5.06173465e+02,1.99958836e+00,1.99924002e+00
"2029Q2",5.06673393e+02,1.99971185e+00,1.99946801e+00
"2029Q3",5.07173342e+02,1.99979829e+00,1.99962761e+00
"2029Q4",5.07673307e+02,1.99985881e+00,1.99973933e+00
"2030Q1",5.08173282e+02,1.99990116e+00,1.99981753e+00
"2030Q2",5.08673265e+02,1.99993082e+00,1.99987227e+00
"2030Q3",5.09173253e+02,1.99995157e+00,1.99991059e+00
"2030Q4",5.09673244e+02,1.99996610e+00,1.99993741e+00
"2031Q1",5.10173238e+02,1.99997627e+00,1.99995619e+00
"2031Q2",5.10673234e+02,1.99998339e+00,1.99996933e+00
"2031Q3",5.11173231e+02,1.99998837e+00,1.99997853e+00
"2031Q4",5.11673229e+02,1.99999186e+00,1.99998497e+00
