,GDP,NGDP,GDP_RW
Comments ->,Producto Interno Bruto real de Guatemala,Producto Interno Bruto nominal de Guatemala,Producto Interno Bruto de EEUU
2001Q1,70060.6,,14183.12
2001Q2,66509.1,,14271.694
2001Q3,66314.4,,14214.516
2001Q4,71106.3,,14253.574
2002Q1,72155.3,43258.8,14372.785
2002Q2,69896.2,41448.7,14460.848
2002Q3,70306.1,42519.3,14519.633
2002Q4,73264.1,44219.7,14537.58
2003Q1,75441.3,47396.9,14614.141
2003Q2,71542.1,44096.5,14743.567
2003Q3,71890.5,45153.4,14988.782
2003Q4,74221.7,46639.5,15162.76
2004Q1,76687.7,50015.5,15248.68
2004Q2,73508.5,47474.2,15366.85
2004Q3,74000.4,48760.2,15512.619
2004Q4,77600.2,52302.2,15670.88
2005Q1,79264,54739.5,15844.727
2005Q2,77149.5,52652.9,15922.782
2005Q3,75770.3,52604.2,16047.587
2005Q4,78863.6,55186.5,16136.734
2006Q1,83160,60101.9,16353.835
2006Q2,79399.4,56810.3,16396.151
2006Q3,80781.3,58936.3,16420.738
2006Q4,85047.2,62174.3,16561.866
2007Q1,88341.8,67591.7,16611.69
2007Q2,85226.5,64074.5,16713.314
2007Q3,85488.2,66701.7,16809.587
2007Q4,89195,70455.9,16915.191
2008Q1,90929.6,75225.8,16843.003
2008Q2,90145.1,74565.1,16943.291
2008Q3,88192.3,75672.5,16854.295
2008Q4,91738.9,78865.9,16485.35
2009Q1,90819.8,78253.3,16298.262
2009Q2,89285.9,74997.8,16269.145
2009Q3,89414.1,76667.6,16326.281
2009Q4,93767.9,80066.9,16502.754
2010Q1,93561.1,83764.1,16582.71
2010Q2,92080.5,80946.3,16743.162
2010Q3,91027.2,82168.1,16872.266
2010Q4,96812,87555.7,16960.864
2011Q1,97288.7,91460.7,16920.632
2011Q2,96227,89623.1,17035.114
2011Q3,96247.7,92060.3,17031.313
2011Q4,100318.9,96206,17222.583
2012Q1,101001.4,98146.8,17367.01
2012Q2,98806.4,95001.2,17444.525
2012Q3,98662.2,95942.2,17469.65
2012Q4,103889.3,101835.8,17489.852
2013Q1,103959.6367,103834.0551,17662.4
2013Q2,103201.621,102176.9626,17709.671
2013Q3,102372.0072,102216.7718,17860.45
2013Q4,106849.9553,108155.4308,18016.147
2014Q1,108290.2691,109524.7975,17953.974
2014Q2,107650.0868,109404.1585,18185.911
2014Q3,106782.4864,111334.0231,18406.941
2014Q4,112164.3561,117063.3471,18500.031
2015Q1,113346.8342,117899.5955,18666.621
2015Q2,111017.4137,116185.0748,18782.243
2015Q3,112034.6023,118716.0061,18857.418
2015Q4,116284.6747,123222.1449,18892.206
2016Q1,115246.8589,123842.2144,19001.69
2016Q2,115127.0217,122800.0011,19062.709
2016Q3,114353.3204,124517.1098,19197.938
2016Q4,120078.2956,130842.379,19304.352
2017Q1,120680.7347,131681.4166,19398.343
2017Q2,117990.2956,127648.9436,19506.949
2017Q3,117906.0572,130292.2189,19660.766
2017Q4,122543.7273,136884.8352,19882.352
2018Q1,123908.6085,137005.9148,20044.077
2018Q2,123025.7309,134676.2094,20150.476
2018Q3,122032.6257,136447.9036,20276.154
2018Q4,126476.8896,143238.0543,20304.874
2019Q1,128550.6662,145002.1499,20415.15
2019Q2,127678.4562,145012.5207,20584.528
2019Q3,126967.5561,147694.9153,20817.581
2019Q4,132153.6046,156262.434,20951.088
2020Q1,129527.3687,151660.3735,20665.553
2020Q2,116168.087,136646.489,19034.83
2020Q3,125203.4798,150074.2461,20511.785
2020Q4,135217.0039,161708.3348,20724.128
2021Q1,135325.382,162333.324,20990.541
2021Q2,134055.3898,161194.0301,21309.544
2021Q3,135444.9114,166216.7991,21483.083
2021Q4,141791.7188,175823.7832,21847.602
2022Q1,141773.8553,178475.8514,21738.871
2022Q2,140029.7428,178228.9,21708.16
2022Q3,140565.2564,184387.9204,21851.134
2022Q4,146758.2506,195016.3079,21989.981
2023Q1,147229.7928,199365.0201,22112.329
2023Q2,145508.1851,198499.9995,22225.35
2023Q3,,,22490.692
