,CPIXFE
2001M01,101.5054
2001M02,102.56437
2001M03,103.29289
2001M04,103.81782
2001M05,104.301056
2001M06,105.05825
2001M07,105.740425
2001M08,107.16067
2001M09,107.973755
2001M10,108.90098
2001M11,109.71497
2001M12,110.49046
2002M01,112.62706
2002M02,113.935875
2002M03,114.70657
2002M04,115.397446
2002M05,115.835495
2002M06,116.391975
2002M07,116.90482
2002M08,117.397995
2002M09,117.838646
2002M10,118.34456
2002M11,118.84373
2002M12,119.3521
2003M01,120.80117
2003M02,121.75279
2003M03,122.32575
2003M04,122.976295
2003M05,123.5094
2003M06,124.06946
2003M07,124.50622
2003M08,124.86682
2003M09,125.25152
2003M10,125.62713
2003M11,125.95718
2003M12,126.43961
2004M01,128.11227
2004M02,129.03287
2004M03,129.65968
2004M04,130.15791
2004M05,130.89682
2004M06,131.65363
2004M07,132.11655
2004M08,132.82349
2004M09,133.54968
2004M10,134.30539
2004M11,135.22697
2004M12,135.94865
2005M01,138.05606
2005M02,139.14626
2005M03,139.84258
2005M04,140.41011
2005M05,141.2552
2005M06,141.94
2005M07,142.57245
2005M08,142.9981
2005M09,143.704
2005M10,144.81033
2005M11,145.65916
2005M12,146.43095
2006M01,148.2323
2006M02,149.0487
2006M03,149.76862
2006M04,150.47157
2006M05,151.03192
2006M06,151.55623
2006M07,152.17404
2006M08,152.6714
2006M09,153.13158
2006M10,153.627
2006M11,154.09619
2006M12,154.88002
2007M01,156.63223
2007M02,157.63554
2007M03,158.59338
2007M04,159.31099
2007M05,159.9518
2007M06,160.66324
2007M07,161.41852
2007M08,162.32567
2007M09,163.13309
2007M10,163.83514
2007M11,164.97464
2007M12,166.32372
2008M01,168.62518
2008M02,170.18726
2008M03,171.65474
2008M04,173.03517
2008M05,174.52792
2008M06,176.0881
2008M07,177.89664
2008M08,178.8411
2008M09,179.86006
2008M10,181.00076
2008M11,181.96272
2008M12,182.5902
2009M01,183.74861
2009M02,184.38963
2009M03,184.75447
2009M04,185.11111
2009M05,185.57555
2009M06,186.02003
2009M07,186.57248
2009M08,187.02747
2009M09,187.66565
2009M10,188.05669
2009M11,188.55624
2009M12,188.94713
2010M01,190.223
2010M02,190.90393
2010M03,191.7623
2010M04,192.37979
2010M05,192.99484
2010M06,193.59508
2010M07,194.20598
2010M08,194.69432
2010M09,195.26405
2010M10,195.81108
2010M11,196.3424
2010M12,197.1595
2011M01,198.30727
2011M02,199.5334
2011M03,200.57494
2011M04,201.70807
2011M05,202.64377
2011M06,203.46503
2011M07,204.4525
2011M08,205.43246
2011M09,206.17142
2011M10,206.93425
2011M11,207.60596
2011M12,208.23322
2012M01,209.03073
2012M02,209.87999
2012M03,210.87396
2012M04,211.54625
2012M05,212.39574
2012M06,213.29546
2012M07,214.09137
2012M08,215.21925
2012M09,216.06047
2012M10,216.82552
2012M11,217.58128
2012M12,218.41534
2013M01,219.4064
2013M02,220.51524
2013M03,221.21982
2013M04,221.98607
2013M05,222.63028
2013M06,223.42157
2013M07,223.97421
2013M08,224.36716
2013M09,224.81404
2013M10,225.42941
2013M11,226.1119
2013M12,226.57341
2014M01,227.12367
2014M02,227.71228
2014M03,228.5207
2014M04,229.07924
2014M05,229.64725
2014M06,230.17828
2014M07,230.72766
2014M08,231.21655
2014M09,231.65102
2014M10,232.1511
2014M11,232.60875
2014M12,233.03477
2015M01,233.47234
2015M02,234.20435
2015M03,234.79874
2015M04,235.38736
2015M05,236.02936
2015M06,236.71852
2015M07,237.31323
2015M08,237.87901
2015M09,238.27773
2015M10,238.89304
2015M11,239.35355
2015M12,239.801
2016M01,240.33147
2016M02,240.83789
2016M03,241.42659
2016M04,241.90959
2016M05,242.43956
2016M06,242.9705
2016M07,243.46765
2016M08,243.94984
2016M09,244.27747
2016M10,244.90685
2016M11,245.37148
2016M12,245.85765
2017M01,246.61954
2017M02,247.1831
2017M03,247.66112
2017M04,248.02774
2017M05,248.4752
2017M06,248.83153
2017M07,249.20207
2017M08,249.53534
2017M09,249.91264
2017M10,250.4988
2017M11,251.06401
2017M12,251.42996
2018M01,252.0065
2018M02,252.60577
2018M03,253.10634
2018M04,253.58475
2018M05,254.09026
2018M06,254.81023
2018M07,255.49382
2018M08,256.01483
2018M09,256.49783
2018M10,256.9307
2018M11,257.3555
2018M12,257.6934
2019M01,257.90338
2019M02,258.35104
2019M03,259.00323
2019M04,259.52286
2019M05,260.04837
2019M06,260.62073
2019M07,260.9953
2019M08,261.37665
2019M09,261.7059
2019M10,262.15744
2019M11,262.61542
2019M12,262.98395
2020M01,263.54858
2020M02,263.91107
2020M03,264.2914
2020M04,264.60968
2020M05,265.08017
2020M06,265.48727
2020M07,265.93652
2020M08,266.42828
2020M09,266.94043
2020M10,267.4171
2020M11,268.1043
2020M12,268.5541
2021M01,269.3257
2021M02,270.15887
2021M03,271.0735
2021M04,271.59314
2021M05,272.21133
2021M06,272.61356
2021M07,273.23465
2021M08,274.20456
2021M09,274.96225
2021M10,276.02063
2021M11,277.53992
2021M12,278.93198
2022M01,280.23032
2022M02,281.96597
2022M03,284.83328
2022M04,287.1143
2022M05,289.51248
2022M06,292.2964
2022M07,294.65604
2022M08,297.18396
2022M09,299.2775
2022M10,301.71054
2022M11,303.28998
2022M12,304.76233
2023M01,306.16714
2023M02,307.961
2023M03,309.40573
2023M04,310.6856
2023M05,311.56418
2023M06,312.62363
2023M07,313.94363
2023M08,315.58286
2023M09,316.84644
2023M10,318.86014
2023M11,319.5627
2023M12,320.11325
