,S
2001M01,7.8
2001M02,7.74
2001M03,7.7
2001M04,7.75
2001M05,7.77
2001M06,7.8
2001M07,7.8
2001M08,7.85
2001M09,7.95
2001M10,8.11
2001M11,8.08
2001M12,7.96
2002M01,8.02
2002M02,7.94
2002M03,7.91
2002M04,7.82
2002M05,7.87
2002M06,7.9
2002M07,7.86
2002M08,7.77
2002M09,7.78
2002M10,7.73
2002M11,7.61
2002M12,7.65
2003M01,7.8
2003M02,7.83
2003M03,7.91
2003M04,7.91
2003M05,7.9
2003M06,7.92
2003M07,7.92
2003M08,7.92
2003M09,7.98
2003M10,8.1
2003M11,8.08
2003M12,8.03
2004M01,8.11
2004M02,8.1
2004M03,8.1
2004M04,8.05
2004M05,7.98
2004M06,7.94
2004M07,7.9
2004M08,7.91
2004M09,7.9
2004M10,7.83
2004M11,7.77
2004M12,7.78
2005M01,7.76
2005M02,7.72
2005M03,7.62
2005M04,7.61
2005M05,7.59
2005M06,7.61
2005M07,7.59
2005M08,7.59
2005M09,7.62
2005M10,7.68
2005M11,7.61
2005M12,7.61
2006M01,7.62
2006M02,7.61
2006M03,7.62
2006M04,7.59
2006M05,7.58
2006M06,7.61
2006M07,7.58
2006M08,7.58
2006M09,7.61
2006M10,7.61
2006M11,7.61
2006M12,7.6
2007M01,7.68
2007M02,7.7
2007M03,7.69
2007M04,7.66
2007M05,7.64
2007M06,7.68
2007M07,7.68
2007M08,7.66
2007M09,7.7
2007M10,7.72
2007M11,7.64
2007M12,7.63
2008M01,7.7
2008M02,7.72
2008M03,7.64
2008M04,7.54
2008M05,7.43
2008M06,7.49
2008M07,7.44
2008M08,7.41
2008M09,7.46
2008M10,7.53
2008M11,7.64
2008M12,7.71
2009M01,7.86
2009M02,7.95
2009M03,8.08
2009M04,8.09
2009M05,8.1
2009M06,8.13
2009M07,8.18
2009M08,8.26
2009M09,8.32
2009M10,8.35
2009M11,8.3
2009M12,8.33
2010M01,8.37
2010M02,8.15
2010M03,8.02
2010M04,8.01
2010M05,8
2010M06,8.01
2010M07,8.01
2010M08,8.02
2010M09,8.08
2010M10,8.06
2010M11,8
2010M12,7.98
2011M01,7.96
2011M02,7.82
2011M03,7.71
2011M04,7.63
2011M05,7.65
2011M06,7.79
2011M07,7.76
2011M08,7.83
2011M09,7.85
2011M10,7.85
2011M11,7.81
2011M12,7.8
2012M01,7.81
2012M02,7.78
2012M03,7.73
2012M04,7.74
2012M05,7.78
2012M06,7.85
2012M07,7.82
2012M08,7.88
2012M09,7.98
2012M10,7.88
2012M11,7.87
2012M12,7.89
2013M01,7.89
2013M02,7.83
2013M03,7.81
2013M04,7.8
2013M05,7.79
2013M06,7.82
2013M07,7.82
2013M08,7.89
2013M09,7.94
2013M10,7.96
2013M11,7.9
2013M12,7.86
2014M01,7.85
2014M02,7.76
2014M03,7.73
2014M04,7.75
2014M05,7.73
2014M06,7.8
2014M07,7.77
2014M08,7.81
2014M09,7.72
2014M10,7.65
2014M11,7.62
2014M12,7.62
2015M01,7.64
2015M02,7.65
2015M03,7.63
2015M04,7.69
2015M05,7.69
2015M06,7.65
2015M07,7.65
2015M08,7.646643871
2015M09,7.693564
2015M10,7.683855806
2015M11,7.647624333
2015M12,7.613479355
2016M01,7.648605484
2016M02,7.662025517
2016M03,7.71716
2016M04,7.730261
2016M05,7.655817097
2016M06,7.642882333
2016M07,7.604172903
2016M08,7.534532903
2016M09,7.525949
2016M10,7.498369032
2016M11,7.504329333
2016M12,7.504338387
2017M01,7.522136129
2017M02,7.411076071
2017M03,7.35949871
2017M04,7.337470667
2017M05,7.339385313
2017M06,7.343816333
2017M07,7.306322258
2017M08,7.275192581
2017M09,7.301883
2017M10,7.34362
2017M11,7.332673667
2017M12,7.34079
2018M01,7.343481613
2018M02,7.359597143
2018M03,7.392914516
2018M04,7.402599667
2018M05,7.440304516
2018M06,7.485269667
2018M07,7.484703226
2018M08,7.500703226
2018M09,7.654351333
2018M10,7.724274516
2018M11,7.700699
2018M12,7.730000645
2019M01,7.729149677
2019M02,7.737828214
2019M03,7.690478387
2019M04,7.644305667
2019M05,7.667630323
2019M06,7.704992333
2019M07,7.675909355
2019M08,7.67082129
2019M09,7.705932333
2019M10,7.762956452
2019M11,7.704358667
2019M12,7.688606129
2020M01,7.695609032
2020M02,7.648576897
2020M03,7.68644871
2020M04,7.707339667
2020M05,7.698647097
2020M06,7.697426333
2020M07,7.695966129
2020M08,7.705185806
2020M09,7.757204333
2020M10,7.781356774
2020M11,7.788877333
2020M12,7.80121871
2021M01,7.79006871
2021M02,7.745361786
2021M03,7.720328387
2021M04,7.716579333
2021M05,7.714919032
2021M06,7.738516
2021M07,7.745088387
2021M08,7.738385161
2021M09,7.731863667
2021M10,7.731476129
2021M11,7.731369333
2021M12,7.725414194
2022M01,7.702852903
2022M02,7.698491429
2022M03,7.694115484
2022M04,7.662973
2022M05,7.669855161
2022M06,7.735068333
2022M07,7.739475806
2022M08,7.731304516
2022M09,7.800417
2022M10,7.865183548
2022M11,7.813936
2022M12,7.868113548
2023M01,7.848967742
2023M02,7.831650357
2023M03,7.804977097
2023M04,7.799317333
2023M05,7.809260645
2023M06,7.838318
2023M07,7.849883226
2023M08,7.859662258
2023M09,7.867457333
2023M10,7.842715161
2023M11,7.827379
2023M12,7.824161613
2024M1,7.818480323
2024M2,7.810868966
2024M3,7.803171613
