,REM
2002M01,83.2
2002M02,96.7
2002M03,109
2002M04,139.2
2002M05,89.8
2002M06,128
2002M07,136.5
2002M08,162.3
2002M09,157.3
2002M10,176.3
2002M11,143
2002M12,158.2
2003M01,164.8
2003M02,144.7
2003M03,160.8
2003M04,181.1
2003M05,187.4
2003M06,161.5
2003M07,192
2003M08,178.9
2003M09,176.6
2003M10,189.9
2003M11,173.4
2003M12,195.6
2004M01,194.7
2004M02,183.7
2004M03,227.9
2004M04,204
2004M05,210.8
2004M06,212.1
2004M07,206.6
2004M08,212.8
2004M09,211.8
2004M10,218
2004M11,236.7
2004M12,231.4
2005M01,209.5
2005M02,203.8
2005M03,246.5
2005M04,253.1
2005M05,274.3
2005M06,261.1
2005M07,245.8
2005M08,241.9
2005M09,241.6
2005M10,278.2
2005M11,265.6
2005M12,271.6
2006M01,248.9
2006M02,254.8
2006M03,289
2006M04,284.4
2006M05,361.4
2006M06,310.1
2006M07,302.9
2006M08,332.9
2006M09,293
2006M10,338.4
2006M11,294.7
2006M12,299.3
2007M01,287.1
2007M02,271.9
2007M03,327.6
2007M04,333.6
2007M05,392.9
2007M06,356.5
2007M07,381.2
2007M08,381.4
2007M09,326.8
2007M10,391.2
2007M11,340.8
2007M12,337.4
2008M01,314.6
2008M02,318.3
2008M03,340.5
2008M04,385.3
2008M05,398
2008M06,384.3
2008M07,409.7
2008M08,373.5
2008M09,371.8
2008M10,367.7
2008M11,311.7
2008M12,339.3
2009M01,290.2
2009M02,282
2009M03,344.1
2009M04,339.7
2009M05,332.6
2009M06,348.6
2009M07,365.6
2009M08,337.4
2009M09,332.1
2009M10,327.5
2009M11,287.9
2009M12,324.5
2010M01,246.1
2010M02,274.5
2010M03,370
2010M04,344.4
2010M05,357
2010M06,394.3
2010M07,384.6
2010M08,377.4
2010M09,359.3
2010M10,339.4
2010M11,331.4
2010M12,348.4
2011M01,283.3
2011M02,304.6
2011M03,384.1
2011M04,371.3
2011M05,415.3
2011M06,416.4
2011M07,349.8
2011M08,409.6
2011M09,364.8
2011M10,356.8
2011M11,343.5
2011M12,378.5
2012M01,305.1
2012M02,350.4
2012M03,402.1
2012M04,419
2012M05,451.6
2012M06,432.7
2012M07,422.1
2012M08,441.4
2012M09,365.8
2012M10,415.4
2012M11,368
2012M12,409.2
2013M01,357.9
2013M02,351.2
2013M03,424.1
2013M04,451.2
2013M05,477
2013M06,417.2
2013M07,445.8
2013M08,456.3
2013M09,420.7
2013M10,480
2013M11,376.6
2013M12,447.3
2014M01,394.2
2014M02,383.9
2014M03,459.2
2014M04,490.7
2014M05,494.1
2014M06,481.9
2014M07,509.7
2014M08,476.8
2014M09,458.8
2014M10,500.5
2014M11,398.3
2014M12,496
2015M01,407.4
2015M02,432
2015M03,556.5
2015M04,503.8
2015M05,519
2015M06,536.3
2015M07,573.7
2015M08,527.3
2015M09,538.4
2015M10,583.8
2015M11,508.7
2015M12,598.1
2016M01,482
2016M02,558
2016M03,623
2016M04,609.3
2016M05,625.3
2016M06,614.7
2016M07,536.1
2016M08,619.2
2016M09,607.7
2016M10,605.9
2016M11,600.3
2016M12,678.4
2017M01,587.6
2017M02,613.9
2017M03,739.8
2017M04,639.9
2017M05,747.4
2017M06,723.7
2017M07,664.2
2017M08,707.8
2017M09,672.9
2017M10,728.3
2017M11,646.3
2017M12,720.3
2018M01,634.6
2018M02,630.1
2018M03,754.5
2018M04,769.9
2018M05,808.5
2018M06,801.4
2018M07,818.3
2018M08,860.4
2018M09,746
2018M10,863.5
2018M11,757.1
2018M12,843.3
2019M01,688.1
2019M02,690.5
2019M03,826.7
2019M04,865.2
2019M05,974.5
2019M06,882
2019M07,947.8
2019M08,980.6
2019M09,892.3
2019M10,1000
2019M11,819.9
2019M12,940.8
2020M01,834.6
2020M02,808
2020M03,746.8
2020M04,690.8
2020M05,836.8
2020M06,963.3
2020M07,1078.7
2020M08,1050.2
2020M09,1051.3
2020M10,1133
2020M11,983.4
2020M12,1163.6
2021M01,906.8
2021M02,942.9
2021M03,1285.6
2021M04,1231.7
2021M05,1236.7
2021M06,1362.5
2021M07,1354.3
2021M08,1388.6
2021M09,1299.3
2021M10,1418.5
2021M11,1356.6
2021M12,1512.2
2022M01,1180.7
2022M02,1262.7
2022M03,1493.1
2022M04,1516.1
2022M05,1592.5
2022M06,1666.2
2022M07,1370
2022M08,1642.7
2022M09,1597.2
2022M10,1622.4
2022M11,1455
2022M12,1641.6
2023M01,1386.5
2023M02,1381.1
2023M03,1665.8
2023M04,1551.4
2023M05,1811.9
2023M06,1861.3
2023M07,1642.9
2023M08,1773.4
2023M09,1699.5
2023M10,1650.7
2023M11,1614.6
2023M12,1765
2024M01,1468
2024M02,1527.9
2024M03,1686.6
