,CPI,CPIXFE,S,RS,CPI_RW,RS_RW,REM,MB
Comments ->,Indice de Precios al Consumidor,Indice de Inflación Subyacente,Tipo de Cambio Nominal,Tasa de interes de Política Monetaria,Indice de Precios PCE Subyacente,Tasa de Fondos Federales,Remesas (Millones de dólares),Base Monetaria
2001M01,30.23975661,101.5054,7.8,5.72,75.796,5.74,,11611.1
2001M02,30.46050654,102.56437,7.74,6.24,75.93,5.59,,11786.1
2001M03,30.62457743,103.29289,7.7,5.4,76.009,5.29,,11961.7
2001M04,30.75583414,103.81782,7.75,4.42,76.13,4.67,,11937.8
2001M05,30.84831046,104.301056,7.77,5.05,76.148,4.24,,11931.5
2001M06,31.0750266,105.05825,7.8,4.98,76.318,3.95,,11787
2001M07,31.34648934,105.740425,7.8,4.83,76.515,3.82,,12124.5
2001M08,31.73727637,107.16067,7.85,4.83,76.553,3.66,,12013.1
2001M09,31.83870201,107.973755,7.95,4.63,76.118,2.75,,12219
2001M10,32.07735059,108.90098,8.11,4.47,76.654,2.66,,12637.23
2001M11,32.30108361,109.71497,8.08,4.93,76.81,2.06,,12399.4
2001M12,32.48901936,110.49046,7.96,4.52,76.828,1.52,,13953.2
2002M01,32.91560368,112.62706,8.02,4.53,76.871,1.85,83.2,13770.7
2002M02,33.20496506,113.935875,7.94,4.23,77.018,1.83,96.7,13179
2002M03,33.41974877,114.70657,7.91,5.25,77.11,1.74,109,14023.24
2002M04,33.60171831,115.397446,7.82,4.56,77.325,1.82,139.2,13901.77
2002M05,33.72104259,115.835495,7.87,4.31,77.411,1.79,89.8,13589.6
2002M06,33.91494455,116.391975,7.9,4.39,77.534,1.73,128,13167.8
2002M07,34.19833973,116.90482,7.86,4.11,77.692,1.76,136.5,13659.7
2002M08,34.1893904,117.397995,7.77,4.91,77.845,1.81,162.3,13737.9
2002M09,34.0998972,117.838646,7.78,4.45,77.972,1.85,157.3,12812.8
2002M10,34.19535662,118.34456,7.73,4.47,78.038,1.82,176.3,13456
2002M11,34.35047819,118.84373,7.61,5.4,78.114,1.23,143,15180.7
2002M12,34.54438015,119.3521,7.65,2.22,78.187,1.16,158.2,16280.5
2003M01,34.95604893,120.80117,7.8,1.03,78.24,1.33,164.8,14268.8
2003M02,35.1976806,121.75279,7.83,4.13,78.348,1.33,144.7,15660.8
2003M03,35.34981907,122.32575,7.91,1.41,78.474,1.38,160.8,14693.8
2003M04,35.50792374,122.976295,7.91,0.87,78.561,1.31,181.1,16111.7
2003M05,35.59741696,123.5094,7.9,0.82,78.674,1.28,187.4,14891.1
2003M06,35.69287638,124.06946,7.92,1.1,78.718,1.45,161.5,14870.4
2003M07,35.78833581,124.50622,7.92,1.48,78.915,1.04,192,15757.7
2003M08,35.88677834,124.86682,7.92,1.4,79.004,1.01,178.9,15166.9
2003M09,36.0359337,125.25152,7.98,1.45,79.114,1.17,176.6,14490.6
2003M10,36.19105527,125.62713,8.1,1.71,79.26,1.03,189.9,16063.3
2003M11,36.35512616,125.95718,8.08,1.96,79.368,1.01,173.4,15710.8
2003M12,36.56692676,126.43961,8.03,1.83,79.467,0.94,195.6,17038.4
2004M01,37.12775089,128.11227,8.11,1.83,79.671,1.03,194.7,15991.3
2004M02,37.40219675,129.03287,8.1,1.94,79.8,1.04,183.7,16172.9
2004M03,37.67067639,129.65968,8.1,1.86,79.934,1.05,227.9,16658.2
2004M04,37.87054456,130.15791,8.05,1.92,80.142,1.03,204,16529.9
2004M05,38.1837708,130.89682,7.98,2.1,80.252,1.02,210.8,16224.5
2004M06,38.33590926,131.65363,7.94,2.26,80.379,1.38,212.1,16125.6
2004M07,38.52086191,132.11655,7.9,2.72,80.474,1.29,206.6,15865.1
2004M08,38.63421998,132.82349,7.91,2.41,80.505,1.55,212.8,16762.5
2004M09,38.93551379,133.54968,7.9,2.08,80.656,1.94,211.8,16607.8
2004M10,39.3173515,134.30539,7.83,2.07,80.831,1.79,218,16933
2004M11,39.70813853,135.22697,7.77,2.43,81.005,2.02,236.7,16708
2004M12,39.94082088,135.94865,7.78,2.68,81.109,1.97,231.4,19074.2
2005M01,40.48374637,138.05606,7.76,2.55,81.401,2.5,209.5,17135.4
2005M02,40.78205708,139.14626,7.72,2.61,81.536,2.52,203.8,18069.3
2005M03,40.97297594,139.84258,7.62,2.75,81.737,2.96,246.5,18437
2005M04,41.23250625,140.41011,7.61,2.75,81.831,2.97,253.1,18430.1
2005M05,41.43834064,141.2552,7.59,2.829545455,81.999,3.09,274.3,18461.7
2005M06,41.70980339,141.94,7.61,3,82.056,3.35,261.1,18232.2
2005M07,42.10357353,142.57245,7.59,3.05952381,82.176,3.31,245.8,18929.6
2005M08,42.25571199,142.9981,7.59,3.336956522,82.243,3.63,241.9,18256.2
2005M09,42.61368484,143.704,7.62,3.613636364,82.425,3.93,241.6,18528.5
2005M10,43.36244472,144.81033,7.68,3.75,82.662,4.02,278.2,19466
2005M11,43.38034336,145.65916,7.61,3.840909091,82.873,4.03,265.6,19087.5
2005M12,43.36244472,146.43095,7.61,4.113636364,82.959,4.09,271.6,21142.5
2006M01,43.75621486,148.2323,7.62,4.25,83.145,4.47,248.9,21155.4
2006M02,43.74428243,149.0487,7.61,4.25,83.279,4.52,254.8,20922.8
2006M03,43.95608303,149.76862,7.62,4.25,83.509,5,289,21110.9
2006M04,44.31703899,150.47157,7.59,4.275,83.764,4.86,284.4,21519.35
2006M05,44.59446795,151.03192,7.58,4.5,83.974,5.05,361.4,22026.1
2006M06,44.85996448,151.55623,7.61,4.579545455,84.186,5.05,310.1,21924
2006M07,45.06579887,152.17404,7.58,4.785714286,84.268,5.31,302.9,21940.6
2006M08,45.21197112,152.6714,7.58,5,84.44,5.31,332.9,22605.29
2006M09,45.04193401,153.13158,7.61,5,84.573,5.34,293,21846.6
2006M10,45.03298469,153.627,7.61,5,84.726,5.31,338.4,24676.4
2006M11,45.2895319,154.09619,7.61,5,84.766,5.31,294.7,22866.1
2006M12,45.87422089,154.88002,7.6,5,84.88,5.17,299.3,25537.7
2007M01,46.47979163,156.63223,7.68,5,85.224,5.33,287.1,25084.5
2007M02,46.64087941,157.63554,7.7,5,85.408,5.41,271.9,25350.5
2007M03,47.04359888,158.59338,7.69,5.022727273,85.494,5.3,327.6,25495.3
2007M04,47.15397384,159.31099,7.66,5.285714286,85.616,5.29,333.6,24833.5
2007M05,47.03166644,159.9518,7.64,5.5,85.717,5.28,392.9,25358.7
2007M06,47.24346705,160.66324,7.68,5.5,85.859,5.31,356.5,26172.4
2007M07,47.58354126,161.41852,7.68,5.5,85.988,5.28,381.2,26750.7
2007M08,48.01907489,162.32567,7.66,5.5,86.116,4.96,381.4,25927.6
2007M09,48.34423357,163.13309,7.7,5.525,86.351,4.58,326.8,26372.5
2007M10,48.50830446,163.83514,7.72,5.75,86.576,4.6,391.2,26541.9
2007M11,49.42411834,164.97464,7.64,6.011363636,86.746,4.66,340.8,25914.2
2007M12,49.88649994,166.32372,7.63,6.285714286,86.92,3.06,337.4,28437.9
2008M01,50.37871261,168.62518,7.7,6.5,87.093,3.22,314.6,27588.7
2008M02,50.72773614,170.18726,7.72,6.5,87.178,3.01,318.3,26936.4
2008M03,51.32435755,171.65474,7.64,6.535714286,87.349,2.51,340.5,26584.8
2008M04,52.04328637,173.03517,7.54,6.75,87.4,2.37,385.3,26475.7
2008M05,52.78906314,174.52792,7.43,6.75,87.559,1.98,398,25910.5
2008M06,53.64819798,176.0881,7.49,6.75,87.76,2.47,384.3,26611.7
2008M07,54.31939707,177.89664,7.44,6.880434783,87.918,2.09,409.7,26613.4
2008M08,54.59085982,178.8411,7.41,7.25,88.026,1.94,373.5,26992.6
2008M09,54.50733282,179.86006,7.46,7.25,88.116,2.03,371.8,27041.8
2008M10,54.77879557,181.00076,7.53,7.25,87.991,0.22,367.7,26908.7
2008M11,54.78476178,181.96272,7.64,7.25,87.952,0.52,311.7,27296.4
2008M12,54.57594429,182.5902,7.71,7.25,87.909,0.14,339.3,28639.9
2009M01,54.34922815,183.74861,7.86,7.227272727,87.882,0.23,290.2,27076.9
2009M02,54.02406947,184.38963,7.95,6.95,87.952,0.22,282,26920.4
2009M03,53.88982965,184.75447,8.08,6.454545455,88.015,0.16,344.1,27259.1
2009M04,53.92861005,185.11111,8.09,6.113636364,88.211,0.2,339.7,28178.9
2009M05,54.00020462,185.57555,8.1,5.75,88.279,0.19,332.6,28382.5
2009M06,53.97932287,186.02003,8.13,5.545454545,88.392,0.22,348.6,28701.4
2009M07,54.15532618,186.57248,8.18,5.206521739,88.468,0.18,365.6,28602.9
2009M08,54.19112347,187.02747,8.26,4.75,88.599,0.15,337.4,28644.2
2009M09,54.52523147,187.66565,8.32,4.636363636,88.755,0.07,332.1,29479.1
2009M10,54.42082272,188.05669,8.35,4.5,89.082,0.11,327.5,29076.1
2009M11,54.45065379,188.55624,8.3,4.5,89.16,0.13,287.9,29651.6
2009M12,54.42380582,188.94713,8.33,4.5,89.236,0.05,324.5,31804.3
2010M01,55.1278191,190.223,8.37,4.5,89.368,0.12,246.1,30666
