,mb
2001M1,11611.1
2001M2,11786.1
2001M3,11961.7
2001M4,11937.8
2001M5,11931.5
2001M6,11787
2001M7,12124.5
2001M8,12013.1
2001M9,12219
2001M10,12637.23
2001M11,12399.4
2001M12,13953.2
2002M1,13770.7
2002M2,13179
2002M3,14023.24
2002M4,13901.77
2002M5,13589.6
2002M6,13167.8
2002M7,13659.7
2002M8,13737.9
2002M9,12812.8
2002M10,13456
2002M11,15180.7
2002M12,16280.5
2003M1,14268.8
2003M2,15660.8
2003M3,14693.8
2003M4,16111.7
2003M5,14891.1
2003M6,14870.4
2003M7,15757.7
2003M8,15166.9
2003M9,14490.6
2003M10,16063.3
2003M11,15710.8
2003M12,17038.4
2004M1,15991.3
2004M2,16172.9
2004M3,16658.2
2004M4,16529.9
2004M5,16224.5
2004M6,16125.6
2004M7,15865.1
2004M8,16762.5
2004M9,16607.8
2004M10,16933
2004M11,16708
2004M12,19074.2
2005M1,17135.4
2005M2,18069.3
2005M3,18437
2005M4,18430.1
2005M5,18461.7
2005M6,18232.2
2005M7,18929.6
2005M8,18256.2
2005M9,18528.5
2005M10,19466
2005M11,19087.5
2005M12,21142.5
2006M1,21155.4
2006M2,20922.8
2006M3,21110.9
2006M4,21519.35
2006M5,22026.1
2006M6,21924
2006M7,21940.6
2006M8,22605.29
2006M9,21846.6
2006M10,24676.4
2006M11,22866.1
2006M12,25537.7
2007M1,25084.5
2007M2,25350.5
2007M3,25495.3
2007M4,24833.5
2007M5,25358.7
2007M6,26172.4
2007M7,26750.7
2007M8,25927.6
2007M9,26372.5
2007M10,26541.9
2007M11,25914.2
2007M12,28437.9
2008M1,27588.7
2008M2,26936.4
2008M3,26584.8
2008M4,26475.7
2008M5,25910.5
2008M6,26611.7
2008M7,26613.4
2008M8,26992.6
2008M9,27041.8
2008M10,26908.7
2008M11,27296.4
2008M12,28639.9
2009M1,27076.9
2009M2,26920.4
2009M3,27259.1
2009M4,28178.9
2009M5,28382.5
2009M6,28701.4
2009M7,28602.9
2009M8,28644.2
2009M9,29479.1
2009M10,29076.1
2009M11,29651.6
2009M12,31804.3
2010M1,30666
2010M2,29877.1
2010M3,31747.7
2010M4,30409.9
2010M5,30291.6
2010M6,30718.2
2010M7,30981.1
2010M8,30876.6
2010M9,31093.4
2010M10,31504.5
2010M11,31771.5
2010M12,34102.9
2011M1,34482.6
2011M2,33660.9
2011M3,34081.4
2011M4,34967.4
2011M5,32985.6
2011M6,34528.7
2011M7,33633.9
2011M8,34352.2
2011M9,33053.5
2011M10,33116.2
2011M11,34921.2
2011M12,37403.8
2012M1,35510
2012M2,36121.1
2012M3,36458.1
2012M4,35850
2012M5,34619.5
2012M6,36084
2012M7,36289.5
2012M8,35213.2
2012M9,35382.3
2012M10,37252.7
2012M11,37733.3
2012M12,41145.9
2013M1,38366.9
2013M2,37723.1
2013M3,41336.9
2013M4,39897.5
2013M5,39256.7
2013M6,39528.2
2013M7,40042
2013M8,39658.8
2013M9,38346.2
2013M10,40460.8
2013M11,39529.1
2013M12,43059.9
2014M1,38354.6
2014M2,39039.9
2014M3,40168.5
2014M4,41299.5
2014M5,40691
2014M6,40200.2
2014M7,41514.1
2014M8,41485.8
2014M9,41265.7
2014M10,40472.3
2014M11,42133.5
2014M12,46802.4
2015M1,44249.6
2015M2,43064.7
2015M3,47300.2
2015M4,46207.1
2015M5,45971.8
2015M6,48599.7
2015M7,46120.1
2015M8,47103.4
2015M9,47910.9
2015M10,47918.6
2015M11,47891.9
2015M12,51693.5
2016M1,49819.3
2016M2,48853.2
2016M3,49067.2
2016M4,50415.7
2016M5,50834.6
2016M6,51771
2016M7,51017.7
2016M8,52396.8
2016M9,51171.6
2016M10,50417
2016M11,53445
2016M12,59057.1
2017M1,55621.7
2017M2,55729.3
2017M3,54805
2017M4,56456.2
2017M5,57089.1
2017M6,57862.1
2017M7,57473.2
2017M8,56764.8
2017M9,57807.4
2017M10,57389.9
2017M11,57635.5
2017M12,66340.9
2018M1,61298.6
2018M2,61038.6
2018M3,62307.2
2018M4,59953
2018M5,60515.8
2018M6,61351
2018M7,59191.7
2018M8,61259.8
2018M9,62211.9
2018M10,63698.3
2018M11,60165.7
2018M12,71162.9
2019M1,64541.4
2019M2,66170.4
2019M3,66111.7
2019M4,66671
2019M5,67160.8
2019M6,67693
2019M7,70927.9
2019M8,67986.1
2019M9,68798.4
2019M10,72012.3
2019M11,70550.5
2019M12,79227.7
2020M1,73917.8
2020M2,71188.5
2020M3,77094.6
2020M4,80776
2020M5,75951.6
2020M6,80282
2020M7,81218.1
2020M8,81449
2020M9,89160.1
2020M10,83439.7
2020M11,87414.1
2020M12,103290.9
2021M1,89494.3
2021M2,90349.1
2021M3,94751
2021M4,88436.9
2021M5,92573
2021M6,96933.4
2021M7,91820.6
2021M8,94032.5
2021M9,97101.3
2021M10,94072
2021M11,98682.9
2021M12,115502
2022M1,100684.7
2022M2,101629.9
2022M3,104923.6
2022M4,102797.6
2022M5,104774.2
2022M6,109689.6
2022M7,107460
2022M8,106733.1
2022M9,108051.8
2022M10,110250.2
2022M11,109734.1
2022M12,123637.4
2023M1,114951.6
2023M2,116728.5
2023M3,115186.2
2023M4,116282.8
2023M5,118147.1
2023M6,123534.4
2023M7,121135.1
2023M8,120568.2
2023M9,117599.6
2023M10,120456.8
2023M11,125431
2023M12,136254.9
2024M1,128128.3
2024M02,127512
2024M03,133422.4
2024M4,126982
