,GDP,NGDP,GDP_RW,GDP_BAR
Comments ->,Producto Interno Bruto real de Guatemala,Producto Interno Bruto nominal de Guatemala,Producto Interno Bruto de EEUU,Producto Potencial de Guatemala
2001Q1,70113.7308,,14183.1,70802.82766
2001Q2,66519.15016,,14271.7,66961.59352
2001Q3,66200.53347,,14214.5,66438.20079
2001Q4,71160.08679,,14253.6,71220.09414
2002Q1,72210.20224,43258.8,14372.8,72115.03073
2002Q2,69906.896,41448.7,14460.8,69722.35385
2002Q3,70185.56099,42519.3,14519.6,69974.67539
2002Q4,73319.6758,44219.7,14537.6,73135.3551
2003Q1,75498.76531,47396.9,14614.1,75387.21717
2003Q2,71553.1161,44096.5,14743.6,71531.60577
2003Q3,71767.26903,45153.4,14988.8,71816.20132
2003Q4,74278.06,46639.5,15162.8,74377.39983
2004Q1,76746.05515,50015.5,15248.7,76881.27597
2004Q2,73519.79583,47474.2,15366.9,73680.61121
2004Q3,73873.42049,48760.2,15512.6,74082.3051
2004Q4,77658.97407,52302.2,15670.9,77949.90941
2005Q1,79324.2458,54739.5,15844.7,79705.8481
2005Q2,77161.30041,52652.9,15922.8,77604.39145
2005Q3,75640.3042,52604.2,16047.6,76111.53812
2005Q4,78923.32283,55186.5,16136.7,79400.07487
2006Q1,83223.19721,60101.9,16353.8,83646.30494
2006Q2,79411.58962,56810.3,16396.2,79682.36652
2006Q3,80642.70357,58936.3,16420.7,80736.71966
2006Q4,85111.62375,62174.3,16561.9,84988.42861
2007Q1,88408.92485,67591.7,16611.7,88037.88615
2007Q2,85239.6266,64074.5,16713.3,84659.21593
2007Q3,85341.50741,66701.7,16809.6,84576.84078
2007Q4,89262.62064,70455.9,16915.2,88344.13512
2008Q1,90998.65933,75225.8,16843,90046.46987
2008Q2,90158.84753,74565.1,16943.3,89322.76686
2008Q3,88040.97311,75672.5,16854.3,87447.61578
2008Q4,91808.36574,78865.9,16485.4,91516.94836
2009Q1,90888.83963,78253.3,16298.3,90965.43423
2009Q2,89299.5135,74997.8,16269.1,89708.77323
2009Q3,89260.72194,76667.6,16326.3,89917.336
2009Q4,93838.97829,80066.9,16502.8,94654.94203
2010Q1,93632.02545,83764.1,16582.7,94425.36637
2010Q2,92094.38262,80946.3,16743.2,92730.5886
2010Q3,90870.81445,82168.1,16872.3,91277.93361
2010Q4,96885.13651,87555.7,16960.9,97058.5824
2011Q1,97362.62924,91460.7,16920.6,97306.0145
2011Q2,96241.69505,89623.1,17035.1,96030.55567
2011Q3,96082.60102,92060.3,17031.3,95811.52933
2011Q4,100394.9563,96206,17222.6,100146.2245
2012Q1,101024.7341,98146.8,17367,100884.8771
2012Q2,98853.31261,95001.2,17444.5,98863.93023
2012Q3,98464.25325,95942.2,17469.7,98623.67165
2012Q4,104018.0125,101835.8,17489.9,104312.8424
2013Q1,103958.177,103834.6133,17662.4,104327.5587
2013Q2,103200.6114,102176.6274,17709.7,103582.3062
2013Q3,102371.9826,102217.2607,17860.5,102709.0522
2013Q4,106852.4492,108154.719,18016.1,107111.202
2014Q1,108285.2764,109523.9833,17954,108416.3629
2014Q2,107650.8222,109403.8826,18185.9,107630.5433
2014Q3,106786.1166,111334.4577,18406.9,106615.1746
2014Q4,112164.9832,117064.0026,18500,111846.4345
2015Q1,113342.6103,117896.9058,18666.6,112919.7697
2015Q2,111019.8227,116183.7874,18782.2,110559.8863
2015Q3,112038.192,118716.6885,18857.4,111587.3644
2015Q4,116282.9,123225.4397,18892.2,115886.2424
2016Q1,115246.8589,123838.4719,19001.7,114968.2533
2016Q2,115127.0217,122799.3196,19062.7,114989.4362
2016Q3,114353.3204,124518.1107,19197.9,114365.056
2016Q4,120078.2956,130845.8021,19304.4,120239.1113
2017Q1,120681.0392,131682.6941,19398.3,120968.6125
2017Q2,117991.6816,127650.3054,19506.9,118354.3748
2017Q3,117906.0925,130291.7544,19660.8,118284.0364
2017Q4,122542.0014,136882.6604,19882.4,122855.5435
2018Q1,123950.2194,136948.2472,20044.1,124075.6132
2018Q2,123024.8036,134588.6944,20150.5,122864.4465
2018Q3,122027.8086,136449.8997,20276.2,121554.3872
2018Q4,126441.0231,143381.2408,20304.9,125701.4266
2019Q1,128558.7057,144926.8264,20431.6,127763.5878
2019Q2,127734.4679,145349.1562,20602.3,127217.7729
2019Q3,126950.5553,147630.4659,20843.3,127056.8848
2019Q4,132106.5542,156065.5714,20985.4,133145.3012
2020Q1,129609.1466,151277.9463,20693.2,131620.5408
2020Q2,115921.9764,136512.5359,19056.6,118442.8632
2020Q3,125171.4499,150141.0921,20548.8,128264.2428
2020Q4,135445.8632,162190.9266,20771.7,138643.0368
2021Q1,135416.212,162873.721,21058.4,137990.0163
2021Q2,134011.5246,162091.3172,21389,135682.4113
2021Q3,135456.9703,167234.5439,21571.4,136233.9557
2021Q4,141923.988,176661.2865,21960.4,141936.4937
2022Q1,141826.2042,179473.0447,21903.9,141271.4392
2022Q2,140382.1986,179537.7675,21919.2,139500.9903
2022Q3,140792.3819,185615.2772,22066.8,139769.9141
2022Q4,146774.7279,196342.5507,22249.5,145719.7579
2023Q1,147507.0749,200812.401,22403.4,146566.2335
2023Q2,146161.9952,200847.4224,22539.4,145410.7656
2023Q3,146456.1505,203697.6096,22780.9,145928.2742
2023Q4,149745.0899,212696.6163,22960.6,149459.1609
2024Q1,152204.5962,215046.1191,23053.5,152158.993
2024Q2,151637.3104,214009.3191,23223.9,151775.1981
2024Q3,151123.9641,,23386.2,151348.4619
